Date : 2025-08-27 16:45:30
Directory : c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend
Total : 146 files,  30948 codes, 1696 comments, 3071 blanks, all 35715 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\componentes\HorarioTable.jsx              | JavaScript JSX |        390 |         12 |         40 |        442 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\modales\CambiarEstadoModal.jsx            | JavaScript JSX |        232 |         17 |         25 |        274 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\modales\CrearHorarioModal.jsx             | JavaScript JSX |        454 |         40 |         57 |        551 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\modales\EditarHorarioModal.jsx            | JavaScript JSX |        473 |         39 |         57 |        569 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\modales\EliminarHorarioModal.jsx          | JavaScript JSX |        260 |         15 |         27 |        302 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reportes\Reportes.jsx                              | JavaScript JSX |      1,836 |        109 |        251 |      2,196 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reportes\componentes\Reporte0cupacion.jsx          | JavaScript JSX |        676 |         51 |         90 |        817 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reportes\componentes\ReporteSaludUsuarios.jsx      | JavaScript JSX |        804 |         42 |         89 |        935 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reservas\Reservas.jsx                              | JavaScript JSX |        437 |         41 |         57 |        535 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reservas\componentes\ReservaTable.jsx              | JavaScript JSX |        452 |         34 |         36 |        522 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reservas\modales\CancelarReservaModal.jsx          | JavaScript JSX |        316 |         25 |         39 |        380 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reservas\modales\CrearReservaModal.jsx             | JavaScript JSX |        565 |         50 |         72 |        687 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\Rutinas.jsx                                | JavaScript JSX |        519 |         25 |         57 |        601 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\componentes\RutinaFilters.jsx              | JavaScript JSX |        130 |          7 |         17 |        154 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\componentes\RutinaSearch.jsx               | JavaScript JSX |        233 |         18 |         23 |        274 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\componentes\RutinaTable.jsx                | JavaScript JSX |        334 |          8 |         24 |        366 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\modales\CambiarEstadoModal.jsx             | JavaScript JSX |        209 |         12 |         17 |        238 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\modales\CrearRutinaModal.jsx               | JavaScript JSX |        274 |         10 |         22 |        306 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\modales\EditarRutinaModal.jsx              | JavaScript JSX |        315 |         11 |         26 |        352 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\Usuario.jsx                               | JavaScript JSX |        621 |         21 |         88 |        730 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\componentes\UsuarioActions.jsx            | JavaScript JSX |        142 |         12 |         20 |        174 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\componentes\UsuarioFilters.jsx            | JavaScript JSX |        352 |         14 |         30 |        396 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\componentes\UsuarioSearch.jsx             | JavaScript JSX |        193 |         13 |         18 |        224 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\componentes\UsuarioTable.jsx              | JavaScript JSX |        274 |         13 |         34 |        321 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\modales\CambiarEstadoModal.jsx            | JavaScript JSX |        135 |          5 |         12 |        152 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\modales\CrearUsuarioModal.jsx             | JavaScript JSX |        278 |          6 |         20 |        304 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\modales\EditarUsuarioModal.jsx            | JavaScript JSX |        297 |          7 |         19 |        323 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\auth\Login.jsx                                           | JavaScript JSX |        182 |         15 |         24 |        221 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\auth\Registro.jsx                                        | JavaScript JSX |        416 |         15 |         41 |        472 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\PerfilCliente.jsx                                | JavaScript JSX |        336 |         20 |         42 |        398 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\componentes\BodyMetricsCard.jsx                  | JavaScript JSX |         15 |          0 |          2 |         17 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\componentes\CalculatedMetrics.jsx                | JavaScript JSX |         29 |          1 |          4 |         34 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\componentes\PersonalInfoCard.jsx                 | JavaScript JSX |         12 |          0 |          2 |         14 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\componentes\charts\MetricsRadarChart.jsx         | JavaScript JSX |         88 |          2 |          7 |         97 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\equipos\EquiposPowerplate.jsx                    | JavaScript JSX |        367 |         30 |         45 |        442 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\horarios\HorariosTurnoCliente.jsx                | JavaScript JSX |        640 |         47 |         70 |        757 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\iaroutines\RutinaIA.jsx                          | JavaScript JSX |        648 |         10 |         22 |        680 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\reservas\ReservasCliente.jsx                     | JavaScript JSX |        574 |         43 |         56 |        673 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\reservas\modales\CancelarReservaModalCliente.jsx | JavaScript JSX |        334 |         28 |         43 |        405 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\reservas\modales\CrearReservaModalCliente.jsx    | JavaScript JSX |        557 |         43 |         63 |        663 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\usuarios\modales\EditarUsuarioModal.jsx          | JavaScript JSX |        298 |          7 |         19 |        324 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\PerfilEntrenador.jsx                          | JavaScript JSX |        336 |         20 |         42 |        398 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\componentes\BodyMetricsCard.jsx               | JavaScript JSX |         15 |          0 |          2 |         17 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\componentes\CalculatedMetrics.jsx             | JavaScript JSX |         29 |          1 |          4 |         34 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\componentes\PersonalInfoCard.jsx              | JavaScript JSX |         12 |          0 |          2 |         14 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\componentes\charts\MetricsRadarChart.jsx      | JavaScript JSX |         88 |          2 |          7 |         97 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\HorariosEntrenador.jsx               | JavaScript JSX |        493 |         31 |         62 |        586 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\componentes\HorarioFilters.jsx       | JavaScript JSX |        151 |          9 |         15 |        175 |
