genero,edad,peso,altura,objetivo,TMB,día,ejercicio,series,repeticiones,parte_musculo
Femenino,18,64.6,1.57,aumento de peso,1473.16,lunes,"['Dips en silla', 'Dips en silla', 'Flexiones tricep', 'Flexiones hindu']","[4, 5, 5, 3]","[13, 11, 16, 16]","['bicep_tricep', 'bicep_tricep', 'bicep_tricep', 'pecho']"
Masculino,27,80.1,1.66,perdida de peso,1809.77,jueves,"['Flexiones pino asistidas', 'Dips entre bancos', 'Flexiones archer']","[3, 3, 2]","[15, 19, 19]","['pecho', 'bicep_tricep', 'pecho']"
Femenino,44,49.3,1.57,perdida de peso,1204.08,jueves,"['Flexiones archer', 'Dips en silla', 'Flexiones diamante', 'Flexiones explosivas']","[3, 5, 5, 5]","[18, 15, 22, 13]","['pecho', 'bicep_tricep', 'pecho', 'pecho']"
Masculino,51,62.2,1.82,aumento de peso,1481.34,lunes,"['Wall handstand', 'Flexiones diamante', 'Dips en paralelas']","[3, 2, 4]","[11, 15, 14]","['hombro', 'pecho', 'bicep_tricep']"
Femenino,49,63.2,1.68,aumento de peso,1333.82,sábado,"['Dominadas neutras', 'Flexiones archer', 'Sentadillas búlgaras']","[3, 2, 3]","[11, 8, 14]","['espalda', 'pecho', 'pierna']"
Masculino,24,83.9,1.71,perdida de peso,1907.23,sábado,"['Zancadas laterales', 'Sentadillas pistol', 'Dominadas anchas']","[2, 3, 2]","[15, 12, 17]","['pierna', 'pierna', 'espalda']"
Femenino,40,49.8,1.71,perdida de peso,1252.88,sábado,"['Muscle ups', 'Dominadas supinas', 'Flexiones diamante', 'Remo invertido']","[4, 3, 5, 5]","[20, 25, 19, 17]","['espalda', 'espalda', 'pecho', 'espalda']"
Masculino,25,73.8,1.78,aumento de peso,1797.06,jueves,"['Dips en paralelas', 'Flexiones hindu', 'Pike push ups', 'Flexiones archer']","[4, 3, 4, 5]","[15, 13, 14, 15]","['pecho', 'pecho', 'bicep_tricep', 'pecho']"
Femenino,38,52.3,1.68,aumento de peso,1280.88,miércoles,"['Elevaciones laterales', 'Saltos en caja', 'Shrugs calisténicos', 'Saltos en caja']","[3, 3, 5, 5]","[14, 17, 16, 15]","['hombro', 'pierna', 'hombro', 'pierna']"
Masculino,18,67.2,1.85,perdida de peso,1789.24,viernes,"['Y raises', 'Remo invertido', 'Pull ups', 'T raises']","[3, 4, 4, 5]","[15, 24, 25, 18]","['hombro', 'espalda', 'espalda', 'hombro']"
Femenino,54,45.8,1.59,perdida de peso,1127.08,miércoles,"['Elevación de talones', 'Saltos en caja', 'Handstand push ups']","[2, 3, 3]","[14, 16, 13]","['pierna', 'pierna', 'hombro']"
Masculino,50,81.8,1.68,aumento de peso,1686.66,martes,"['Remo invertido', 'Pike push ups', 'Muscle ups']","[4, 4, 4]","[12, 12, 14]","['espalda', 'bicep_tricep', 'espalda']"
Femenino,29,49.9,1.58,aumento de peso,1282.14,viernes,"['Remo invertido', 'Dominadas pronadas', 'Wall handstand', 'Handstand push ups']","[5, 5, 4, 3]","[16, 18, 10, 15]","['espalda', 'espalda', 'hombro', 'hombro']"
Masculino,31,92.9,1.72,perdida de peso,1987.93,lunes,"['Wall handstand', 'Flexiones una mano asistidas', 'Wall handstand']","[4, 3, 4]","[13, 14, 12]","['hombro', 'pecho', 'hombro']"
Femenino,20,68.5,1.58,perdida de peso,1503.0,sábado,"['Dominadas supinas', 'Remo archer', 'Zancadas salto', 'Dominadas supinas']","[4, 3, 3, 3]","[20, 18, 25, 13]","['espalda', 'espalda', 'pierna', 'espalda']"
Masculino,36,79.8,1.79,aumento de peso,1809.46,miércoles,"['Wall sit', 'Shrugs calisténicos', 'Sentadillas', 'Sentadillas pistol']","[3, 5, 4, 4]","[10, 12, 18, 16]","['pierna', 'hombro', 'pierna', 'pierna']"
Femenino,29,57.6,1.6,aumento de peso,1359.66,viernes,"['Superman', 'T raises', 'Dominadas neutras', 'Pike push ups']","[3, 3, 5, 3]","[16, 16, 18, 13]","['espalda', 'hombro', 'espalda', 'hombro']"
Masculino,48,63.5,1.9,perdida de peso,1559.55,sábado,"['Flexiones explosivas', 'Remo con toalla', 'Flexiones wide grip']","[4, 3, 4]","[11, 17, 13]","['pecho', 'espalda', 'pecho']"
Femenino,35,67.1,1.75,perdida de peso,1449.66,jueves,"['Flexiones explosivas', 'Flexiones tricep', 'Flexiones wide grip', 'Flexiones declinadas']","[4, 4, 4, 3]","[16, 18, 23, 21]","['pecho', 'bicep_tricep', 'pecho', 'pecho']"
Masculino,46,74.0,1.89,aumento de peso,1712.0,jueves,"['Chin ups', 'Flexiones close grip', 'Flexiones close grip']","[4, 4, 3]","[15, 14, 12]","['bicep_tricep', 'bicep_tricep', 'bicep_tricep']"
Femenino,34,70.9,1.58,aumento de peso,1460.24,martes,"['Muscle ups', 'Dominadas supinas', 'Flexiones tricep']","[2, 2, 3]","[10, 14, 9]","['espalda', 'espalda', 'bicep_tricep']"
Masculino,18,81.8,1.66,perdida de peso,1894.26,sábado,"['Flexiones archer', 'Flexiones inclinadas', 'Sentadillas pistol']","[2, 3, 4]","[19, 18, 12]","['pecho', 'pecho', 'pierna']"
Femenino,52,53.5,1.73,perdida de peso,1235.6,miércoles,"['Sentadillas salto', 'Elevaciones laterales', 'Sentadillas sumo']","[4, 2, 4]","[11, 13, 13]","['pierna', 'hombro', 'pierna']"
Masculino,43,79.8,1.9,aumento de peso,1816.86,viernes,"['Remo invertido', 'Wall handstand', 'Handstand push ups', 'Remo invertido']","[4, 3, 5, 5]","[11, 14, 16, 13]","['espalda', 'hombro', 'hombro', 'espalda']"
Femenino,31,46.0,1.71,aumento de peso,1258.7,viernes,"['T raises', 'Shrugs calisténicos', 'Remo invertido', 'Remo invertido']","[4, 4, 3, 5]","[17, 12, 11, 13]","['hombro', 'hombro', 'espalda', 'espalda']"
Masculino,46,86.5,1.78,perdida de peso,1828.25,jueves,"['Dips en paralelas', 'Chin ups', 'Pseudo planche']","[2, 4, 3]","[19, 19, 17]","['pecho', 'bicep_tricep', 'bicep_tricep']"
Femenino,26,66.8,1.57,perdida de peso,1456.68,sábado,"['Dips en paralelas', 'Remo invertido', 'Remo archer', 'Zancadas salto']","[4, 4, 4, 5]","[18, 14, 22, 21]","['pecho', 'espalda', 'espalda', 'pierna']"
Masculino,33,92.6,1.86,aumento de peso,2040.22,martes,"['Handstand push ups', 'Pseudo planche', 'Dominadas neutras', 'Superman']","[4, 5, 4, 3]","[12, 17, 16, 12]","['bicep_tricep', 'bicep_tricep', 'espalda', 'espalda']"
Femenino,22,73.2,1.57,aumento de peso,1536.92,miércoles,"['Handstand push ups', 'Pike push ups', 'Sentadillas pistol']","[4, 2, 4]","[8, 12, 9]","['hombro', 'hombro', 'pierna']"
Masculino,51,60.9,1.82,perdida de peso,1463.53,lunes,"['Flexiones hindu', 'Flexiones pike', 'Flexiones close grip']","[2, 4, 4]","[18, 17, 15]","['bicep_tricep', 'pecho', 'bicep_tricep']"
Femenino,52,74.7,1.57,perdida de peso,1410.32,jueves,"['Flexiones explosivas', 'Flexiones hindu', 'Flexiones hindu']","[4, 2, 4]","[15, 13, 19]","['pecho', 'pecho', 'pecho']"
Masculino,51,75.8,1.75,aumento de peso,1632.66,miércoles,"['T raises', 'Pike push ups', 'Sentadillas']","[4, 3, 3]","[10, 10, 11]","['hombro', 'hombro', 'pierna']"
Femenino,52,50.9,1.66,aumento de peso,1198.04,jueves,"['Flexiones hindu', 'Flexiones explosivas', 'Pike push ups']","[3, 4, 4]","[13, 8, 12]","['pecho', 'pecho', 'bicep_tricep']"
Masculino,27,77.0,1.79,perdida de peso,1832.3,viernes,"['Plancha lateral', 'Remo con toalla', 'Handstand push ups', 'Dominadas anchas']","[6, 6, 4, 5]","[17, 21, 23, 21]","['hombro', 'espalda', 'hombro', 'espalda']"
Femenino,32,70.6,1.55,perdida de peso,1461.36,jueves,"['Dips en silla', 'Flexiones declinadas', 'Flexiones pino asistidas']","[4, 3, 2]","[13, 16, 20]","['bicep_tricep', 'pecho', 'pecho']"
Masculino,44,69.1,1.84,aumento de peso,1633.47,sábado,"['Dips en paralelas', 'Zancadas laterales', 'Flexiones una mano asistidas', 'Chin ups']","[5, 4, 5, 5]","[17, 16, 15, 12]","['pecho', 'pierna', 'pecho', 'espalda']"
Femenino,51,69.9,1.55,aumento de peso,1365.34,sábado,"['Muscle ups', 'Flexiones inclinadas', 'Flexiones diamante']","[3, 4, 4]","[13, 14, 11]","['espalda', 'pecho', 'pecho']"
Masculino,22,76.0,1.84,perdida de peso,1877.6,martes,"['Muscle ups', 'Flexiones tricep', 'Dominadas comando', 'Chin ups']","[5, 6, 5, 6]","[15, 19, 24, 18]","['espalda', 'bicep_tricep', 'espalda', 'bicep_tricep']"
Femenino,29,61.1,1.7,perdida de peso,1411.26,jueves,"['Flexiones pino asistidas', 'Flexiones tricep', 'Dips en paralelas', 'Flexiones wide grip']","[4, 4, 4, 4]","[20, 30, 24, 20]","['pecho', 'bicep_tricep', 'pecho', 'pecho']"
Masculino,41,92.3,1.82,aumento de peso,1961.71,martes,"['Superman', 'Dominadas comando', 'Flexiones tricep', 'Chin ups']","[3, 3, 3, 4]","[12, 18, 16, 16]","['espalda', 'espalda', 'bicep_tricep', 'espalda']"
Femenino,55,47.1,1.74,aumento de peso,1161.86,lunes,"['Hollow body hold', 'Flexiones pike', 'Hollow body hold']","[4, 4, 2]","[10, 11, 14]","['hombro', 'hombro', 'hombro']"
Masculino,44,87.2,1.83,perdida de peso,1876.44,jueves,"['Flexiones inclinadas', 'Flexiones hindu', 'Dips en paralelas', 'Flexiones diamante']","[3, 4, 5, 5]","[25, 24, 16, 19]","['pecho', 'pecho', 'pecho', 'pecho']"
Femenino,52,55.1,1.56,perdida de peso,1220.36,lunes,"['Flexiones una mano asistidas', 'Flexiones normales', 'Flexiones tricep']","[3, 3, 4]","[12, 13, 16]","['pecho', 'pecho', 'bicep_tricep']"
Masculino,25,93.7,1.79,aumento de peso,2074.69,lunes,"['Flexiones normales', 'Hollow body hold', 'Flexiones normales']","[3, 4, 4]","[8, 8, 10]","['pecho', 'hombro', 'pecho']"
Femenino,47,58.9,1.67,aumento de peso,1300.14,miércoles,"['Burpees', 'Zancadas', 'Zancadas salto']","[3, 2, 3]","[15, 12, 10]","['pierna', 'pierna', 'pierna']"
Masculino,49,93.2,1.81,perdida de peso,1914.64,miércoles,"['Sentadillas pistol', 'Hollow body hold', 'Saltos en caja']","[2, 3, 4]","[16, 13, 15]","['pierna', 'hombro', 'pierna']"
Femenino,35,51.9,1.68,perdida de peso,1291.14,jueves,"['Flexiones una mano asistidas', 'Flexiones diamante', 'Flexiones tricep', 'Pseudo planche']","[5, 3, 5, 5]","[13, 18, 16, 15]","['pecho', 'bicep_tricep', 'bicep_tricep', 'bicep_tricep']"
Masculino,20,89.2,1.82,aumento de peso,2062.04,viernes,"['Dominadas anchas', 'Elevaciones laterales', 'Remo invertido', 'Dominadas pronadas']","[4, 4, 5, 5]","[10, 10, 17, 18]","['espalda', 'hombro', 'espalda', 'espalda']"
Femenino,40,52.3,1.57,aumento de peso,1251.68,martes,"['Chin ups', 'Superman', 'Dominadas supinas', 'Dips entre bancos']","[4, 3, 4, 3]","[16, 15, 17, 18]","['espalda', 'espalda', 'bicep_tricep', 'bicep_tricep']"
Masculino,34,74.5,1.67,perdida de peso,1690.45,viernes,"['Dominadas pronadas', 'Plancha lateral', 'Remo invertido', 'Handstand hold']","[5, 4, 4, 5]","[14, 20, 15, 13]","['espalda', 'hombro', 'espalda', 'hombro']"
Femenino,34,68.1,1.72,perdida de peso,1458.56,viernes,"['Dominadas anchas', 'Pull ups', 'Remo archer', 'Plancha lateral']","[5, 5, 4, 6]","[30, 28, 20, 16]","['espalda', 'espalda', 'espalda', 'hombro']"
Masculino,31,71.2,1.87,aumento de peso,1765.64,jueves,"['Flexiones hindu', 'Dips entre bancos', 'Flexiones declinadas', 'Handstand push ups']","[3, 4, 5, 3]","[12, 15, 17, 11]","['bicep_tricep', 'bicep_tricep', 'pecho', 'bicep_tricep']"
Femenino,30,65.5,1.65,aumento de peso,1439.8,sábado,"['Wall sit', 'Sentadillas pistol', 'Zancadas laterales', 'Dominadas comando']","[6, 4, 5, 4]","[16, 15, 12, 12]","['pierna', 'pierna', 'pierna', 'espalda']"
Masculino,43,71.8,1.8,perdida de peso,1657.26,sábado,"['Remo invertido', 'Zancadas laterales', 'Remo invertido', 'Chin ups']","[4, 3, 5, 5]","[13, 23, 24, 17]","['espalda', 'pierna', 'espalda', 'espalda']"
Femenino,51,62.4,1.67,perdida de peso,1314.94,sábado,"['Sentadillas pistol', 'Flexiones archer', 'Sentadillas pistol']","[2, 2, 4]","[11, 18, 16]","['pierna', 'pecho', 'pierna']"
Masculino,31,63.7,1.66,aumento de peso,1557.89,sábado,"['Flexiones una mano asistidas', 'Zancadas laterales', 'Dominadas supinas', 'Flexiones normales']","[3, 4, 3, 4]","[10, 16, 16, 10]","['pecho', 'pierna', 'espalda', 'pecho']"
Femenino,40,54.2,1.71,aumento de peso,1295.12,jueves,"['Dips en paralelas', 'Flexiones explosivas', 'Dips entre bancos', 'Flexiones pike']","[3, 5, 4, 5]","[18, 13, 16, 12]","['bicep_tricep', 'pecho', 'bicep_tricep', 'pecho']"
Masculino,23,63.2,1.74,perdida de peso,1645.44,sábado,"['Flexiones normales', 'Zancadas salto', 'Pull ups', 'Remo con toalla']","[5, 4, 3, 4]","[14, 20, 14, 21]","['pecho', 'pierna', 'espalda', 'espalda']"
Femenino,52,45.6,1.73,perdida de peso,1159.76,miércoles,"['Sentadillas pistol', 'T raises', 'Wall sit']","[4, 4, 2]","[17, 15, 15]","['pierna', 'hombro', 'pierna']"
Masculino,29,78.6,1.73,aumento de peso,1810.62,viernes,"['Dominadas neutras', 'Wall handstand', 'Pull ups', 'Pike push ups']","[5, 4, 4, 4]","[16, 10, 14, 17]","['espalda', 'hombro', 'espalda', 'hombro']"
Femenino,19,73.0,1.69,aumento de peso,1570.7,martes,"['Remo con toalla', 'Chin ups', 'Pull ups', 'Chin ups']","[3, 4, 5, 4]","[18, 10, 11, 10]","['espalda', 'bicep_tricep', 'espalda', 'espalda']"
Masculino,32,69.1,1.69,perdida de peso,1640.07,lunes,"['Dips en paralelas', 'Flexiones una mano asistidas', 'Hollow body hold', 'Dips entre bancos']","[3, 3, 4, 5]","[24, 25, 23, 18]","['bicep_tricep', 'pecho', 'hombro', 'bicep_tricep']"
Femenino,38,51.3,1.64,perdida de peso,1264.08,lunes,"['Flexiones hindu', 'Flexiones archer', 'Flexiones pike', 'Flexiones hindu']","[5, 5, 3, 4]","[21, 21, 13, 18]","['pecho', 'pecho', 'hombro', 'pecho']"
Masculino,53,62.2,1.84,aumento de peso,1477.74,miércoles,"['Wall handstand', 'Plancha lateral', 'Sentadillas']","[3, 2, 2]","[9, 11, 9]","['hombro', 'hombro', 'pierna']"
Femenino,40,50.4,1.72,aumento de peso,1260.44,jueves,"['Flexiones declinadas', 'Flexiones archer', 'Flexiones pino asistidas', 'Dips en paralelas']","[3, 4, 3, 4]","[12, 11, 10, 14]","['pecho', 'pecho', 'pecho', 'bicep_tricep']"
Masculino,52,63.4,1.89,perdida de peso,1525.98,sábado,"['Pull ups', 'Chin ups', 'Burpees']","[2, 4, 4]","[11, 15, 19]","['espalda', 'espalda', 'pierna']"
Femenino,32,73.4,1.64,perdida de peso,1504.44,viernes,"['Dominadas supinas', 'Wall handstand', 'Dominadas supinas', 'Elevaciones laterales']","[4, 3, 4, 4]","[16, 24, 18, 17]","['espalda', 'hombro', 'espalda', 'hombro']"
Masculino,34,82.0,1.7,aumento de peso,1808.2,sábado,"['Sentadillas sumo', 'Pull ups', 'Sentadillas']","[4, 3, 2]","[9, 15, 14]","['pierna', 'espalda', 'pierna']"
Femenino,41,68.8,1.73,aumento de peso,1434.18,jueves,"['Flexiones pike', 'Pseudo planche', 'Dips en silla', 'Flexiones pike']","[5, 4, 4, 3]","[11, 18, 13, 15]","['pecho', 'bicep_tricep', 'bicep_tricep', 'pecho']"
Masculino,51,77.0,1.77,perdida de peso,1659.1,miércoles,"['Zancadas', 'Elevación de talones', 'Wall sit']","[3, 3, 4]","[13, 15, 19]","['pierna', 'pierna', 'pierna']"
Femenino,39,63.5,1.66,perdida de peso,1380.1,jueves,"['Flexiones normales', 'Dips en paralelas', 'Flexiones inclinadas', 'Flexiones inclinadas']","[5, 3, 5, 4]","[13, 14, 19, 16]","['pecho', 'pecho', 'pecho', 'pecho']"
Masculino,50,80.5,1.89,aumento de peso,1773.85,viernes,"['Flexiones pike', 'Flexiones pike', 'Dominadas neutras']","[2, 3, 3]","[9, 10, 8]","['hombro', 'hombro', 'espalda']"
Femenino,32,60.2,1.66,aumento de peso,1381.32,miércoles,"['Zancadas laterales', 'Zancadas salto', 'Wall handstand', 'Sentadillas sumo']","[5, 3, 5, 4]","[11, 12, 15, 14]","['pierna', 'pierna', 'hombro', 'pierna']"
Masculino,28,63.6,1.67,perdida de peso,1581.92,martes,"['Dips en paralelas', 'Dominadas supinas', 'Dominadas comando', 'Dips en silla']","[3, 3, 5, 5]","[24, 19, 25, 17]","['bicep_tricep', 'espalda', 'espalda', 'bicep_tricep']"
Femenino,38,72.1,1.68,perdida de peso,1470.96,viernes,"['Chin ups', 'Superman', 'Flexiones pike', 'Hollow body hold']","[3, 4, 3, 3]","[25, 23, 24, 19]","['espalda', 'espalda', 'hombro', 'hombro']"
Masculino,22,85.9,1.7,aumento de peso,1943.23,martes,"['Remo archer', 'Chin ups', 'Dominadas comando']","[3, 2, 4]","[8, 10, 12]","['espalda', 'espalda', 'espalda']"
Femenino,29,70.7,1.69,aumento de peso,1501.62,martes,"['Chin ups', 'Flexiones tricep', 'Muscle ups', 'Pseudo planche']","[6, 6, 4, 6]","[18, 15, 12, 14]","['bicep_tricep', 'bicep_tricep', 'espalda', 'bicep_tricep']"
Masculino,45,88.6,1.72,perdida de peso,1833.82,lunes,"['Flexiones pike', 'Flexiones diamante', 'Hollow body hold']","[4, 2, 4]","[14, 16, 18]","['pecho', 'pecho', 'hombro']"
Femenino,53,50.0,1.7,perdida de peso,1191.9,jueves,"['Flexiones diamante', 'Dips en paralelas', 'Dominadas supinas']","[4, 4, 4]","[17, 19, 13]","['bicep_tricep', 'bicep_tricep', 'bicep_tricep']"
Masculino,55,93.0,1.68,aumento de peso,1806.1,viernes,"['Shrugs calisténicos', 'Remo con toalla', 'Remo con toalla']","[2, 3, 4]","[10, 14, 11]","['hombro', 'espalda', 'espalda']"
Femenino,42,68.7,1.57,aumento de peso,1399.72,sábado,"['Superman', 'Saltos en caja', 'Zancadas', 'Flexiones archer']","[3, 4, 3, 3]","[13, 13, 15, 11]","['espalda', 'pierna', 'pierna', 'pecho']"
Masculino,53,83.4,1.69,perdida de peso,1693.18,martes,"['Dominadas supinas', 'Remo archer', 'Pike push ups']","[2, 3, 3]","[18, 15, 16]","['bicep_tricep', 'espalda', 'bicep_tricep']"
Femenino,20,72.8,1.65,perdida de peso,1556.88,lunes,"['Flexiones tricep', 'Dips entre bancos', 'Flexiones inclinadas', 'Elevaciones laterales']","[3, 3, 4, 4]","[14, 24, 17, 21]","['bicep_tricep', 'bicep_tricep', 'pecho', 'hombro']"
Masculino,22,69.3,1.88,aumento de peso,1805.81,viernes,"['Wall handstand', 'Plancha lateral', 'Hollow body hold', 'Remo archer']","[4, 4, 5, 6]","[18, 17, 18, 18]","['hombro', 'hombro', 'hombro', 'espalda']"
Femenino,25,54.0,1.72,aumento de peso,1365.5,viernes,"['T raises', 'Y raises', 'Handstand hold', 'Y raises']","[4, 3, 4, 4]","[14, 11, 15, 10]","['hombro', 'hombro', 'hombro', 'hombro']"
Masculino,49,63.4,1.68,perdida de peso,1441.38,viernes,"['Dominadas comando', 'Pike push ups', 'Remo archer']","[2, 4, 4]","[15, 20, 20]","['espalda', 'hombro', 'espalda']"
Femenino,36,65.7,1.56,perdida de peso,1397.32,lunes,"['Flexiones close grip', 'Wall handstand', 'Flexiones pike', 'Plancha lateral']","[3, 5, 3, 4]","[14, 13, 13, 22]","['bicep_tricep', 'hombro', 'hombro', 'hombro']"
Masculino,46,88.4,1.75,aumento de peso,1839.28,jueves,"['Dips en paralelas', 'Flexiones inclinadas', 'Flexiones normales']","[4, 4, 2]","[11, 14, 13]","['pecho', 'pecho', 'pecho']"
Femenino,24,59.2,1.61,aumento de peso,1400.32,jueves,"['Flexiones archer', 'Pike push ups', 'Pseudo planche', 'Flexiones pino asistidas']","[4, 6, 6, 4]","[13, 12, 17, 13]","['pecho', 'bicep_tricep', 'bicep_tricep', 'pecho']"
